id;loai_chi_phi;so_tien;don_vi_tien_te
1;Liechtenstein;Integrated copying;Handcrafted revolutionary payment
2;overriding;multi-byte PNG;Branch
3;syndicate program Turnpike;Papua Licensed Bacon;Programmable
4;Licensed;Incredible mobile;SDR Shirt
5;rich tan XML;benchmark Rubber;capability Baby Soap
6;Regional Refined;Tasty fuchsia;Salad Frozen
7;SMS;Hawaii Response;aggregate
8;granular connecting frame;silver adapter;Sausages functionalities
9;copying;Bhutanese Market;Common yellow
10;Trafficway;Orchard;Account cyan markets
