id;ma_de_xuat;ten_de_xuat;tu_ngay;den_ngay;trang_thai_truong_phong;trang_thai_phong_tai_vu;trang_thai_ban_lanh_dao
1;Facilitator Rubber blue;Administrator Gloves Tugrik;2021-03-26;2021-03-26;Somoni;Central;up De-engineered Colorado
2;Music neural;virtual;2021-03-25;2021-03-25;1080p syndicate invoice;copy Implemented Soft;Parkway silver Jewelery
3;Balanced;programming Bike haptic;2021-03-26;2021-03-26;salmon Wyoming;Rubber;Burundi card Small
4;Buckinghamshire;attitude-oriented multi-tasking;2021-03-25;2021-03-26;Gloves;Market;Generic California
5;Dynamic haptic;Dollar;2021-03-26;2021-03-26;Avon Chicken Handcrafted;HTTP;payment Home
6;Qatar;cohesive optimal Bacon;2021-03-26;2021-03-25;Concrete moratorium card;vortals PCI;feed known
7;Soft Personal;Chair International;2021-03-26;2021-03-26;invoice People's;revolutionize;white PCI Soft
8;deposit;programming;2021-03-25;2021-03-26;non-volatile transmitting;Division deposit;overriding Leone parsing
9;Algeria;input grey Dakota;2021-03-25;2021-03-26;synthesize Cambridgeshire Operations;impactful matrix;Liberia THX mobile
10;Peso Wooden;Upgradable;2021-03-26;2021-03-25;Baby;Nevada Incredible Forward;COM Salad
