id;ma_muc;loai_phi;so_tien;cap_bac
1;Market client-server;Licensed Forint;virtual matrix;XML
2;eco-centric;purple Tuna;vertical Baby Regional;Enterprise-wide application experiences
3;Dynamic structure virtual;Investor challenge robust;Chair;Usability PCI Metal
4;Handcrafted cross-platform 1080p;Slovenia access Salad;Comoros Auto CSS;holistic encompassing
5;up Nebraska Bedfordshire;Rufiyaa;PNG;Account
6;rich;infrastructures group;bypass firewall;Rubber Small Ball
7;FTP;Electronics incentivize;Shoes Garden;primary haptic Islands
8;Streamlined;alarm;Ball Shoes Pizza;monitor optimize
9;Associate enhance morph;redefine;JSON;Wooden leading redundant
10;Central generating;modular experiences Frozen;Locks;Buckinghamshire Credit Analyst
