id;ma_nhan_vien;ma_chuyen_di;so_tien
1;District;adapter;U.S. Fresh Pants
2;Guadeloupe Bacon Legacy;parsing Ball fuchsia;Baby Carolina
3;solution-oriented Shirt calculate;Pants;Plastic Gorgeous
4;Montserrat;Suriname payment Frozen;Configuration
5;Savings Cotton;Lilangeni Regional Oklahoma;Montana
6;Delaware Avon;Cameroon violet feed;Borders
7;high-level;THX Account payment;Ferry
8;solutions Liaison;Senior;Arizona
9;invoice;Leu Tactics bandwidth;HDD transmitting
10;Fuerte Metal;Ball;B2C SMS paradigms
